Age,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,CD Account,County
25,49,91107,4,1.6,1,0,0,0,Los Angeles
45,34,90089,3,1.5,1,0,0,0,Los Angeles
39,11,94720,1,1.0,1,0,0,0,Alameda
35,100,94112,1,2.7,2,0,0,0,San Francisco
35,45,91330,4,1.0,2,0,0,0,Los Angeles
37,29,92121,4,0.4,2,155,0,0,San Diego
53,72,91711,2,1.5,2,0,0,0,Los Angeles
50,22,93943,1,0.3,3,0,0,0,Monterey
35,81,90089,3,0.6,2,104,0,0,Los Angeles
34,180,93023,1,8.9,3,0,1,0,Ventura
65,105,94710,4,2.4,3,0,0,0,Alameda
29,45,90277,3,0.1,2,0,0,0,Los Angeles
48,114,93106,2,3.8,3,0,0,0,Santa Barbara
59,40,94920,4,2.5,2,0,0,0,Marin
67,112,91741,1,2.0,1,0,0,0,Los Angeles
60,22,95054,1,1.5,3,0,0,0,Santa Clara
38,130,95010,4,4.7,3,134,1,0,Santa Cruz
42,81,94305,4,2.4,1,0,0,0,Santa Clara
46,193,91604,2,8.1,3,0,1,0,Los Angeles
55,21,94720,1,0.5,2,0,0,0,Alameda
56,25,94015,4,0.9,2,111,0,0,San Mateo
57,63,90095,3,2.0,3,0,0,0,Los Angeles
29,62,90277,1,1.2,1,260,0,0,Los Angeles
44,43,91320,2,0.7,1,163,0,0,Ventura
36,152,95521,2,3.9,1,159,0,0,Humboldt
43,29,94305,3,0.5,1,97,0,0,Santa Clara
40,83,95064,4,0.2,3,0,0,0,Santa Cruz
46,158,90064,1,2.4,1,0,0,0,Los Angeles
56,48,94539,1,2.2,3,0,0,0,Alameda
38,119,94104,1,3.3,2,0,1,1,San Francisco
59,35,93106,1,1.2,3,122,0,0,Santa Barbara
40,29,94117,1,2.0,2,0,0,0,San Francisco
53,41,94801,2,0.6,3,193,0,0,Contra Costa
30,18,91330,3,0.9,3,0,0,0,Los Angeles
31,50,94035,4,1.8,3,0,0,0,Santa Clara
48,81,92647,3,0.7,1,0,0,0,Orange
59,121,94720,1,2.9,1,0,0,0,Alameda
51,71,95814,1,1.4,3,198,0,0,Sacramento
42,141,94114,3,5.0,3,0,1,1,San Francisco
38,80,94115,4,0.7,3,285,0,0,San Francisco
57,84,92672,3,1.6,3,0,0,0,Orange
34,60,94122,3,2.3,1,0,0,0,San Francisco
32,132,90019,4,1.1,2,412,1,0,Los Angeles
39,45,95616,1,0.7,1,0,0,0,Yolo
46,104,94065,1,5.7,1,0,0,0,San Mateo
57,52,94720,4,2.5,1,0,0,0,Alameda
39,43,95014,3,0.7,2,153,0,0,Santa Clara
37,194,91380,4,0.2,3,211,1,1,Los Angeles
56,81,95747,2,4.5,3,0,0,0,Placer
40,49,92373,1,1.8,1,0,0,0,San Bernardino
32,8,92093,4,0.7,2,0,0,0,San Diego
