iter	Passed	Remaining
0	3	3021
1	7	3544
2	11	3895
3	17	4273
4	21	4349
5	25	4237
6	30	4279
7	34	4291
8	38	4185
9	41	4108
10	44	3965
11	48	3980
12	51	3934
13	55	3932
14	59	3913
15	63	3902
16	66	3859
17	69	3786
18	72	3735
19	75	3700
20	86	4011
21	89	3994
22	92	3933
23	96	3942
24	100	3937
25	104	3900
26	107	3865
27	110	3839
28	114	3829
29	117	3802
30	120	3770
31	123	3743
32	127	3723
33	130	3702
34	133	3687
35	136	3659
36	139	3632
37	142	3613
38	146	3599
39	149	3577
40	151	3551
41	154	3524
42	157	3502
43	161	3506
44	163	3479
45	166	3451
46	169	3428
47	171	3409
48	174	3385
49	178	3386
50	180	3366
51	183	3350
52	186	3334
53	189	3320
54	193	3328
55	196	3313
56	199	3298
57	202	3284
58	205	3272
59	208	3273
60	212	3266
61	215	3253
62	218	3244
63	220	3230
64	225	3238
65	228	3228
66	231	3222
67	234	3213
68	238	3218
69	242	3220
70	245	3209
71	248	3201
72	251	3191
73	256	3211
74	259	3205
75	263	3204
76	266	3196
77	270	3202
78	275	3209
79	279	3212
80	282	3208
81	287	3216
82	291	3219
83	295	3216
84	298	3209
85	299	3185
86	304	3190
87	307	3185
88	310	3178
89	313	3171
90	317	3167
91	321	3171
92	325	3173
93	328	3170
94	332	3165
95	336	3170
96	340	3165
97	343	3159
98	346	3154
99	350	3157
100	354	3153
101	357	3147
102	360	3142
103	364	3141
104	368	3139
105	371	3132
106	374	3128
107	378	3125
108	382	3128
109	386	3124
110	389	3120
111	392	3114
112	396	3109
113	400	3110
114	403	3103
115	407	3101
116	410	3094
117	413	3088
118	416	3085
119	420	3081
120	423	3075
121	426	3068
122	430	3071
123	433	3065
124	437	3062
125	440	3056
126	443	3050
127	447	3050
128	452	3052
129	455	3050
130	459	3046
131	463	3045
132	466	3043
133	470	3042
134	474	3041
135	479	3048
136	483	3046
137	486	3041
138	490	3036
139	494	3037
140	497	3032
141	500	3026
142	504	3023
143	507	3018
144	512	3019
145	515	3015
146	518	3010
147	522	3005
148	525	3002
149	529	3001
150	532	2996
151	536	2991
152	539	2985
153	543	2984
154	546	2981
155	550	2976
156	553	2972
157	557	2968
158	560	2966
159	563	2960
160	567	2955
161	570	2950
162	574	2949
163	578	2946
164	581	2941
165	584	2938
166	587	2932
167	591	2930
168	595	2926
169	598	2921
170	601	2916
171	604	2911
172	608	2908
173	612	2905
174	615	2900
175	618	2897
176	622	2894
177	625	2890
178	628	2884
179	631	2878
180	635	2873
181	639	2872
182	642	2867
183	645	2863
184	649	2861
185	653	2858
186	657	2857
187	660	2853
188	664	2851
189	669	2852
190	695	2944
191	699	2942
192	709	2966
193	715	2971
194	722	2982
195	726	2979
196	730	2977
197	735	2979
198	739	2977
199	744	2977
200	748	2975
201	752	2974
202	756	2969
203	759	2964
204	762	2958
205	767	2956
206	770	2952
207	774	2947
208	777	2942
209	780	2937
210	785	2936
211	789	2934
212	792	2929
213	796	2924
214	799	2918
215	803	2915
216	807	2914
217	810	2909
218	814	2903
219	817	2899
220	822	2897
221	825	2894
222	829	2888
223	832	2883
224	837	2884
225	841	2881
226	844	2877
227	848	2872
228	853	2873
229	857	2870
230	861	2867
231	864	2863
232	868	2859
233	872	2857
234	876	2852
235	879	2848
236	883	2843
237	887	2841
